qt_civilian_card,qt_military_cards,qt_commercial_cards,qt_raw_materials,qt_manufactured_good,qt_scientific_cards,qt_guild_cards,wonder_id,wonder_stage,qt_clay,qt_coins,qt_compass,qt_gear,qt_glass,qt_loom,qt_ore,qt_papyrus,qt_shields,qt_stone,qt_tablet,qt_wood,civilian_points,commercial_points,guild_points,military_points,scientific_points,total_points,wonder_points,winner,total_reward
0,1,2,3,2,0,0,3,0,0,59,0,0,1,0,4,1,1,0,0,0,0,22,0,12,0,34,0,True,66
1,1,1,2,1,0,0,10,1,1,38,0,0,0,1,1,0,2,0,0,0,5,12,0,9,0,29,3,True,68
1,1,1,1,0,2,0,7,0,0,29,0,0,0,0,0,0,2,1,0,0,2,10,0,9,2,23,0,False,53
4,0,2,1,1,0,0,0,1,2,21,0,0,0,0,0,1,0,1,0,0,24,7,0,-3,0,31,3,True,80
1,2,1,1,0,1,1,3,1,0,15,0,0,0,0,1,0,2,0,0,2,6,6,4,3,1,23,3,True,62
0,0,2,1,1,2,0,9,2,0,37,0,0,1,0,0,0,0,0,0,1,0,14,0,-2,2,19,5,False,52
0,0,2,3,0,1,1,3,2,0,15,0,0,0,0,1,0,2,0,0,3,0,7,1,8,1,20,3,False,62
1,0,1,1,1,0,0,11,1,1,44,0,0,0,1,0,1,0,0,0,0,6,14,0,-3,0,19,2,False,54
0,1,0,1,0,0,0,2,2,0,38,0,0,0,0,1,0,3,0,0,1,0,12,0,10,0,25,3,True,57
0,1,0,1,2,0,0,13,0,0,42,0,0,0,2,0,1,3,2,0,0,0,14,0,9,0,23,0,False,53
1,0,0,2,3,2,1,4,1,2,40,0,0,1,1,1,2,0,0,0,0,7,13,2,-5,4,24,3,False,60
0,1,2,1,0,1,0,2,2,0,30,0,0,0,0,0,0,2,2,0,1,0,11,0,16,1,31,3,True,67
1,2,2,2,1,1,1,6,0,0,38,0,0,1,1,0,0,5,2,0,0,6,12,3,9,1,31,0,False,72
0,0,2,2,1,3,0,5,2,1,19,0,0,2,0,1,0,0,0,0,0,0,8,0,-5,10,16,3,False,47
0,2,1,1,1,0,0,11,0,0,44,0,0,0,0,0,2,2,0,0,0,0,14,0,18,0,32,0,True,62
1,2,0,0,1,2,1,3,1,0,17,0,0,1,0,1,0,2,0,0,0,3,5,6,12,4,33,3,True,67
3,0,1,0,1,0,1,6,1,0,16,0,0,0,2,0,0,0,0,0,0,9,5,2,-2,0,17,3,False,51
0,1,0,1,1,0,0,2,1,0,47,0,0,0,0,0,1,3,0,0,2,0,15,0,4,0,22,3,True,53
1,0,1,2,0,2,1,5,3,0,37,0,0,1,0,2,0,0,0,0,2,8,13,6,-4,4,37,10,False,77
1,0,0,1,3,0,0,10,0,0,36,0,0,1,1,1,1,0,1,0,0,5,12,0,-3,0,14,0,False,40
0,0,2,1,0,1,0,4,1,0,39,0,0,0,0,0,1,0,1,0,0,0,13,0,-3,1,14,3,False,40
0,2,2,1,1,2,0,11,3,0,37,0,0,0,1,0,1,3,0,0,1,0,15,0,18,2,45,10,True,87
2,0,1,1,2,2,0,11,0,2,33,0,0,1,0,0,2,0,0,0,0,8,11,0,-3,4,20,0,False,51
